neighbourhood_group,population
Charlottenburg-Wilmersdorf,319628
Friedrichshain-Kreuzberg,268225
Lichtenberg,259881
Marzahn-Hellersdorf,248264
Mitte,332919
Neukölln,310283
Pankow,366441
Reinickendorf,240454
Spandau,223962
Steglitz-Zehlendorf,293989
Tempelhof-Schöneberg,33506
Treptow-Köpenick,241335
